,control1_rna,control2_rna,control3_rna,het1_rna,het2_rna,het3_rna,homo1_rna,homo2_rna,homo3_rna
0610005C13Rik,0,0,0,0,0,0,0,0,0
0610006L08Rik,0,0,0,0,0,0,0,0,0
0610009B22Rik,213,211,207,345,354,349,261,387,298
0610009E02Rik,0,0,0,0,0,0,0,0,0
0610009L18Rik,0,0,0,0,0,0,0,0,0
0610010B08Rik,0,0,1,0,0,0,0,1,1
0610010F05Rik,1807,2050,1525,2104,2237,1958,1838,2762,1756
0610010K14Rik,1100,1106,1108,810,774,820,1039,1234,966
0610012G03Rik,0,0,0,0,0,0,0,0,0
0610025J13Rik,0,0,0,0,0,0,0,0,0
0610030E20Rik,968,942,780,1020,866,834,824,997,698
0610031O16Rik,0,0,0,0,0,0,0,0,0
0610037L13Rik,674,692,598,773,756,682,698,925,714
0610038B21Rik,0,0,0,0,0,0,0,0,0
0610039H22Rik,0,0,0,0,0,0,0,0,0
0610039K10Rik,0,0,0,0,0,0,0,0,0
0610040B10Rik,0,0,0,0,0,0,0,0,0
0610040F04Rik,0,0,0,0,0,0,0,0,0
0610040J01Rik,0,1,0,0,0,1,1,0,0
0610043K17Rik,0,0,0,0,0,0,0,0,0
1010001N08Rik,0,0,0,0,0,0,0,0,0
1100001I12Rik,0,0,0,0,0,0,0,0,0
1110002J07Rik,0,0,0,0,0,0,0,0,0
1110002L01Rik,0,0,0,0,0,0,0,0,0
1110002O04Rik,0,0,0,0,0,0,0,0,0
1110004F10Rik,4115,4028,3772,3654,3351,3738,3118,3872,3444
1110006O24Rik,0,0,0,0,0,0,0,0,0
1110008L16Rik,391,425,335,338,323,417,267,371,366
1110008P14Rik,614,629,569,638,535,702,834,995,799
1110012L19Rik,180,213,192,412,361,346,251,345,229
1110015O18Rik,0,0,0,0,0,0,0,0,0
1110017D15Rik,1,2,0,9,4,1,2,3,1
1110018N20Rik,0,0,0,0,0,0,0,0,0
1110019D14Rik,0,0,0,0,0,0,0,0,0
1110020A21Rik,0,0,0,0,0,0,0,0,0
1110025L11Rik,0,0,0,0,0,0,0,0,0
1110028F11Rik,0,0,0,0,0,0,0,0,0
1110028F18Rik,0,0,0,0,0,0,0,0,0
1110032A03Rik,99,102,71,216,162,175,132,205,135
1110032F04Rik,0,1,1,0,0,2,3,8,3
1110034G24Rik,17,19,12,22,18,30,14,13,18
1110036E04Rik,0,0,0,0,0,0,0,0,0
1110038B12Rik,0,0,0,0,0,0,0,0,0
1110038F14Rik,946,1040,949,783,669,748,1178,1431,1159
1110046J04Rik,0,0,0,0,0,0,0,0,0
1110051M20Rik,553,580,536,736,676,704,606,911,684
1110057P08Rik,0,0,0,0,0,0,0,0,0
1110058D11Rik,0,0,0,0,0,0,0,0,0
1110059E24Rik,1017,1063,992,761,727,740,921,1194,971
1110059G10Rik,356,350,288,378,405,363,441,567,463
1110065P20Rik,577,582,524,836,760,815,652,814,636
1190002N15Rik,2167,2280,1706,2696,2705,2785,528,745,599
1190003K10Rik,0,0,0,0,0,0,0,0,0
1190005I06Rik,91,97,79,155,118,112,31,41,41
1190007I07Rik,80,83,76,51,39,61,66,78,66
1190028D05Rik,0,0,0,0,0,0,0,0,0
1300002E11Rik,0,0,0,0,0,0,0,0,0
1300017J02Rik,0,1,1,0,0,2,5,3,3
1500002F19Rik,0,0,0,0,0,0,0,0,0
1500004A13Rik,0,0,0,0,0,0,0,0,0
1500009C09Rik,0,0,0,0,0,0,0,0,0
1500009L16Rik,19,14,17,90,84,60,41,61,28
1500011B03Rik,0,0,0,0,0,0,0,0,0
1500012K07Rik,0,0,0,0,0,0,0,0,0
1500015A07Rik,0,0,0,0,0,0,0,0,0
1500015L24Rik,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,1,5,1,4,0,0,0
1500026H17Rik,0,0,0,0,0,0,0,0,0
1500035N22Rik,0,0,0,0,0,0,0,0,0
1520401A03Rik,1,1,0,4,4,4,1,0,2
1600002D24Rik,0,0,0,0,0,0,0,0,0
1600002H07Rik,312,305,252,228,196,219,226,314,233
1600002K03Rik,210,214,217,93,70,79,168,209,157
1600010M07Rik,0,0,0,0,0,0,0,0,0
1600012H06Rik,1381,1409,1186,1317,1329,1309,928,1141,907
1600014C10Rik,216,212,228,476,374,464,131,167,139
1600014C23Rik,1,1,0,2,3,2,1,0,1
1600015I10Rik,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0
1600020E01Rik,0,0,0,0,0,0,0,0,0
1600023N17Rik,0,0,0,0,0,0,0,0,0
1600025M17Rik,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0,0
1700001C19Rik,12,9,5,0,1,1,2,2,0
1700001D01Rik,0,0,0,0,0,0,0,0,0
1700001F09Rik,1,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,0,0,0,0,0
1700001G17Rik,0,0,0,0,0,0,0,0,0
1700001J03Rik,0,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,0,0,0,0,0,0,0,0
1700001K23Rik,0,0,0,0,0,0,0,0,0
1700001L05Rik,0,0,0,0,0,0,0,0,0
1700001L19Rik,0,0,0,1,2,3,0,0,0
1700001O22Rik,28,22,19,10,12,7,19,23,19
1700001P01Rik,6,12,12,2,6,6,9,7,10
1700003C15Rik,0,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0,0
1700003E16Rik,10,20,24,29,35,22,18,15,23
1700003E24Rik,0,0,0,0,0,0,0,0,0
1700003F12Rik,13,7,7,16,6,11,95,108,75
1700003G13Rik,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0,0,0,0
1700003P14Rik,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0
1700006H20Rik,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0
1700007G11Rik,3,2,0,1,0,0,1,0,1
1700007J10Rik,0,0,0,0,0,0,0,0,0
1700007K09Rik,1,0,0,1,1,0,0,1,0
1700007K13Rik,9,9,12,15,12,8,11,33,39
1700007L15Rik,0,0,0,0,0,0,0,0,0
1700007P06Rik,0,0,0,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0,0,0
1700008J07Rik,0,0,0,0,0,0,0,0,0
1700008K24Rik,0,0,0,0,0,0,0,0,0
1700008O03Rik,2,3,2,3,2,0,1,1,3
1700008P02Rik,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0
1700009N14Rik,176,191,181,159,152,201,181,236,229
1700010B08Rik,0,1,0,0,1,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0
1700010I14Rik,0,2,1,17,20,27,0,0,1
1700010J16Rik,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0
1700010L04Rik,0,0,0,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0,0
1700011E24Rik,0,2,2,1,3,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,1,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,2,3,0
1700012B09Rik,143,119,195,1,0,3,12,6,21
1700012C14Rik,0,0,0,0,0,0,0,0,0
1700012D01Rik,0,0,0,0,0,0,0,0,0
1700012D14Rik,0,0,0,0,0,0,0,0,0
1700012D16Rik,0,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0
1700012J15Rik,0,0,0,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0,0
1700013F07Rik,1,2,3,1,1,1,1,2,4
1700013G24Rik,0,0,0,0,0,0,0,0,1
1700013H16Rik,0,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0,0
1700015C15Rik,0,0,0,0,0,0,0,0,0
1700015F17Rik,4,3,3,3,2,4,0,3,0
1700015G11Rik,0,1,0,0,0,0,0,0,1
1700016A09Rik,0,0,0,0,0,0,0,0,0
1700016B01Rik,0,0,0,0,0,0,0,0,0
1700016C15Rik,3,6,5,0,2,0,51,57,30
1700016C19Rik,0,0,0,0,0,0,0,0,0
1700016D06Rik,6,2,5,4,7,6,4,6,5
1700016G14Rik,2,3,1,0,0,1,4,5,3
1700016G22Rik,0,0,0,0,0,0,0,0,0
1700016H13Rik,0,1,0,0,0,0,0,0,0
1700016J18Rik,0,0,0,0,0,0,0,0,0
1700016K05Rik,0,0,0,0,0,0,0,0,0
1700016K19Rik,0,1,1,1,2,3,0,0,0
1700016L04Rik,0,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0
1700017B05Rik,1575,1476,1464,1710,1388,1654,1509,1868,1694
1700017D01Rik,0,0,0,0,0,0,0,0,1
1700017G19Rik,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0,0
1700017M07Rik,0,0,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0
1700018A23Rik,0,0,0,0,0,0,0,0,0
1700018B08Rik,0,0,0,1,0,1,1,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0,0
1700018L02Rik,0,0,0,0,0,0,0,0,0
1700019A02Rik,0,2,0,0,0,0,1,0,0
1700019B03Rik,0,0,1,0,1,0,0,0,1
1700019C18Rik,0,0,0,0,0,0,0,0,0
1700019D03Rik,0,0,0,0,0,0,0,0,1
1700019E08Rik,0,0,0,0,0,0,0,0,0
1700019F05Rik,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0,0
1700019J19Rik,0,0,0,0,0,0,0,0,0
1700019L22Rik,0,0,0,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0
1700020D05Rik,9,11,7,17,8,22,3,12,6
1700020D12Rik,0,0,0,0,0,0,0,0,0
1700020D14Rik,0,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0,0
1700020I14Rik,0,0,0,0,0,0,0,0,0
1700020L24Rik,3,3,2,1,0,6,4,5,3
1700020M21Rik,0,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0,0
1700021F02Rik,0,0,0,0,0,0,0,0,0
1700021F05Rik,647,657,587,582,482,562,578,698,523
1700021F07Rik,0,0,0,0,0,0,0,0,0
1700021L23Rik,0,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0
1700022I11Rik,0,1,0,0,0,0,0,0,0
1700022N22Rik,0,0,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0,0
1700023D09Rik,0,0,0,0,0,0,0,0,0
1700023F02Rik,0,0,0,0,0,0,0,0,0
1700023F06Rik,2,4,1,6,4,1,0,0,1
1700023G09Rik,0,0,0,0,0,0,0,0,0
1700024B05Rik,0,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0,0,0
1700024F13Rik,0,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0,0
1700024P16Rik,31,37,30,62,49,85,31,64,53
1700025B11Rik,0,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0
1700025G04Rik,804,836,874,575,541,579,865,1278,854
1700025J12Rik,0,0,0,0,0,0,0,0,0
1700025K04Rik,0,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0
1700025N23Rik,0,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0,0
1700027H10Rik,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0,0
1700028E10Rik,0,0,0,0,0,0,0,0,0
1700028I16Rik,0,0,0,0,0,0,0,0,0
1700028J19Rik,0,0,0,0,0,0,0,0,0
1700028K03Rik,0,2,1,1,1,0,1,3,1
1700028M03Rik,0,0,0,0,0,0,0,0,0
1700028P14Rik,0,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0,0,0
1700029H14Rik,3,0,1,3,0,2,0,0,1
1700029I15Rik,55,42,45,97,48,69,48,47,28
1700029J03Rik,0,0,0,0,0,0,0,0,0
1700029J07Rik,11,17,19,26,25,29,40,71,59
1700029M03Rik,0,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0,0
1700029P11Rik,0,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0,0
1700030C10Rik,0,0,0,0,0,0,0,0,0
1700030C12Rik,0,0,0,0,0,0,0,0,0
1700030C14Rik,0,0,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0,0
1700030J22Rik,28,42,20,68,48,47,63,77,54
1700030K09Rik,215,237,176,365,290,333,273,301,280
1700030L20Rik,0,0,0,0,0,0,0,0,0
1700030L22Rik,0,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,1,1,0,1,1,1,1,1
1700034G24Rik,0,0,0,0,0,0,0,0,0
1700034H15Rik,0,0,0,0,0,0,0,0,0
1700034I23Rik,0,0,0,0,0,0,0,0,0
1700034J05Rik,0,0,1,3,4,1,2,1,1
1700034K08Rik,0,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0,0,0,0
1700034P13Rik,0,0,0,0,0,0,0,0,0
1700036A12Rik,0,0,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0,0
1700037C18Rik,42,52,38,90,103,105,106,138,116
1700037H04Rik,1461,1539,1381,1030,943,1079,1208,1406,1107
1700039E15Rik,0,0,0,0,0,0,0,0,0
1700039E22Rik,0,0,0,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,0,0,0,0,0
1700039M10Rik,0,0,0,0,0,0,0,0,0
1700040D17Rik,0,0,0,0,0,0,0,0,0
1700040G22Rik,0,0,0,0,0,0,0,0,0
1700040L02Rik,0,0,0,0,0,0,0,0,0
1700041A01Rik,0,0,0,0,0,0,0,0,0
1700041B01Rik,0,0,0,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0,0
1700042O10Rik,0,0,0,0,0,0,0,0,0
1700044C05Rik,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0,0,0,0
1700047E10Rik,0,0,0,0,0,0,0,0,0
1700047G03Rik,0,0,0,0,0,0,0,0,0
1700047I17Rik2,922,910,824,2227,2007,2017,768,982,777
1700047L14Rik,0,0,0,0,0,0,0,0,0
1700047M11Rik,0,0,0,0,0,0,0,0,0
1700048B10Rik,0,0,0,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0,0,0,0
1700048M11Rik,0,0,0,0,0,0,0,0,0
1700048O14Rik,0,0,0,0,0,0,0,0,0
1700048O20Rik,0,0,0,0,0,0,0,0,0
1700049E15Rik,0,0,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0,0
1700049J03Rik,0,0,0,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0,0
1700052H01Rik,0,0,0,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0,0
1700052K11Rik,0,0,0,0,0,0,0,0,0
1700054A03Rik,0,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0,0
1700054O19Rik,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0,0
1700055D16Rik,0,0,0,0,0,0,0,0,0
1700055D18Rik,0,0,0,0,0,0,0,0,0
1700056E22Rik,18,23,24,26,25,27,20,29,31
1700057G04Rik,8,7,4,4,4,1,7,9,2
1700057H15Rik,0,0,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0,0
1700061G19Rik,1,0,1,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0,0
1700061N14Rik,0,0,0,0,0,0,0,0,0
1700062C10Rik,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0,0
1700064F23Rik,0,0,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,0,0,0,0,0,0,0
1700065D16Rik,0,1,0,1,3,1,3,3,0
1700065I16Rik,0,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0
1700066B19Rik,1,0,1,0,0,0,0,0,0
1700066C05Rik,11,7,13,225,258,200,17,16,19
1700066J03Rik,0,0,0,0,0,0,0,0,0
1700066M21Rik,455,488,424,425,516,441,484,556,414
1700066N21Rik,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0,0,0,0
1700067K01Rik,5,4,1,5,4,5,6,7,2
1700067P10Rik,0,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0,0,0,0
1700071K01Rik,797,868,836,531,448,593,856,1022,922
1700071M16Rik,0,0,0,0,0,0,0,0,0
1700072B07Rik,0,0,0,0,0,0,0,0,0
1700072I22Rik,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0,0,0,0
1700080E11Rik,0,0,0,1,1,2,0,1,0
1700080G11Rik,0,0,0,0,0,0,0,0,0
1700080G18Rik,15,21,19,31,18,14,22,16,17
1700080N15Rik,0,0,0,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0,0,0,0
1700081B01Rik,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,0
1700083H02Rik,0,0,0,0,0,0,0,0,0
1700084D21Rik,0,0,0,0,0,0,0,0,0
1700084E18Rik,0,0,0,0,0,0,0,0,0
1700084F23Rik,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,0,0,0,0
1700086O06Rik,0,0,0,0,0,0,0,0,0
1700086P04Rik,0,0,0,0,0,0,0,0,0
1700087I21Rik,0,0,0,0,0,0,0,0,0
1700087M22Rik,0,0,0,0,0,0,0,0,0
1700088E04Rik,55,55,52,45,35,41,91,109,58
1700091H14Rik,0,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0
1700092M07Rik,8,6,7,5,2,1,7,7,5
1700093K21Rik,0,3,1,7,1,4,0,2,1
1700094D03Rik,102,117,86,114,87,90,80,104,70
1700094J05Rik,0,0,0,0,0,0,0,0,0
1700094M23Rik,0,0,0,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0,0,0,0
1700095A13Rik,0,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0,0,0,0
1700095J12Rik,0,0,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0,0,0
1700096K18Rik,0,0,0,0,0,0,0,0,0
1700096P03Rik,0,0,0,0,0,0,0,0,0
1700097N02Rik,0,0,0,0,0,0,0,0,0
1700099I09Rik,0,0,0,0,0,0,0,0,0
1700100I10Rik,0,0,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0,0,0
1700101I11Rik,0,0,0,0,0,0,0,0,0
1700101O22Rik,0,0,0,0,0,0,0,0,0
1700102H20Rik,0,0,0,0,0,0,0,0,0
1700102J08Rik,0,0,0,0,0,0,0,0,0
1700102P08Rik,7,4,7,9,10,11,10,10,11
1700104L18Rik,0,0,0,0,0,0,0,0,0
1700105P06Rik,0,0,0,0,0,0,0,0,0
1700108F19Rik,0,0,0,0,0,0,0,0,0
1700108J01Rik,0,0,0,0,0,0,0,0,0
1700108N06Rik,0,0,0,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0,0,0
1700109G15Rik,0,0,0,0,0,0,0,0,0
1700109H08Rik,20,32,29,25,11,18,9,28,14
1700109I08Rik,0,0,0,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0,0,0,0
1700110C19Rik,0,0,0,0,0,0,0,0,0
1700110I01Rik,0,0,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0,0,0,0
1700110K17Rik,0,0,0,0,0,0,0,0,0
1700111N16Rik,0,0,0,0,0,0,0,0,0
1700112D23Rik,0,0,0,0,0,0,0,0,0
1700112E06Rik,0,1,0,1,0,2,0,0,0
1700112H15Rik,0,0,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,0,0,0
1700112J16Rik,0,0,0,0,0,0,0,0,0
1700112N08Rik,0,0,0,0,0,0,0,0,0
1700113A16Rik,0,0,0,0,0,0,0,0,0
1700113B09Rik,0,0,0,0,0,0,0,0,0
1700113H08Rik,0,0,0,0,0,0,0,0,0
1700116B05Rik,0,0,0,0,0,0,0,0,0
1700116H05Rik,0,0,0,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0,0,0,0
1700120C14Rik,0,0,0,0,0,0,0,0,0
1700120E14Rik,0,0,0,0,0,0,0,0,0
1700120G07Rik,0,0,0,0,0,0,0,0,0
1700120K04Rik,0,0,0,0,0,0,0,0,0
1700121L16Rik,0,0,0,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0,0,0,0
1700122C19Rik,0,0,0,0,0,0,0,0,0
1700122E12Rik,0,0,0,0,0,0,0,0,0
1700122H20Rik,0,0,0,0,0,0,0,0,0
1700122O11Rik,0,0,0,0,0,0,0,0,0
1700123J17Rik,0,0,0,0,0,0,0,0,0
1700123K08Rik,0,0,0,0,0,0,0,0,0
1700123L14Rik,0,0,0,0,0,0,0,0,0
1700123M08Rik,0,0,0,0,0,0,0,0,0
1700123O12Rik,0,0,0,0,0,0,0,0,0
1700123O20Rik,713,739,701,833,731,819,802,963,867
1700123O21Rik,0,0,0,0,0,0,0,0,0
1700124L16Rik,0,0,0,0,0,0,0,0,0
1700124M09Rik,0,0,0,0,0,0,0,0,0
1700125G02Rik,0,0,0,0,0,0,0,0,0
1700125G22Rik,0,0,0,0,0,0,0,0,0
1700125H03Rik,0,0,0,0,0,0,0,0,0
1700125H20Rik,12,11,5,9,6,2,9,7,5
1700126G02Rik,0,0,0,0,0,0,0,0,0
1700126H18Rik,0,0,0,0,0,0,0,0,0
1700128A07Rik,0,0,0,0,0,0,0,0,0
1700128E19Rik,0,0,0,0,0,0,0,0,0
1700128F08Rik,0,0,0,0,0,0,0,0,0
1700129C05Rik,0,0,0,0,0,0,0,0,0
1810006J02Rik,0,0,0,0,0,0,0,0,0
1810007C17Rik,0,0,0,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0,0,0,0
1810008I18Rik,0,0,0,0,0,0,0,0,0
